q,n,r,lower_bound,upper_bound,lower_bound_reference,upper_bound_reference
2,8,43,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,44,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,45,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,46,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,47,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,48,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,1,52,64,rule_sphere_covering_bound,lean_small_explicit_upper;rule_free_lengthening
2,9,2,12,24,rule_sphere_covering_bound,lean_small_explicit_upper;rule_free_lengthening
2,9,3,4,7,rule_sphere_covering_bound,lean_small_explicit_upper
2,9,4,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,9,5,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,9,6,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,9,7,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,9,8,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,9,9,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,10,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,11,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,12,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,13,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,14,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,15,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,16,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,17,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,18,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,19,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,20,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,21,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,9,22,1,1,rule_sphere_covering_bound,rule_large_radius_upper
